Home_Team,Away_Team,Result,Link,Season,Round,League
B. Mönchengladbach,Bayern München,1-1,https://www.besoccer.com/match/borussia-monchengla/bayern-munchen/202215543,2022,1,bundesliga
Wolfsburg,VfL Bochum,1-0,https://www.besoccer.com/match/wolfsburg/bochum/202215545,2022,1,bundesliga
Union Berlin,B. Leverkusen,1-1,https://www.besoccer.com/match/1-fc-union-berlin/bayer-leverkusen/202215546,2022,1,bundesliga
Stuttgart,Greuther Fürth,5-1,https://www.besoccer.com/match/stuttgart/greuther-furth/202215547,2022,1,bundesliga
FC Augsburg,Hoffenheim,0-4,https://www.besoccer.com/match/fc-augsburg/tsg-1899-hoffenheim/202215549,2022,1,bundesliga
Arminia Bielefeld,SC Freiburg,0-0,https://www.besoccer.com/match/arminia-bielefeld/sc-freiburg/202215550,2022,1,bundesliga
B. Dortmund,Eintracht Frankfurt,5-2,https://www.besoccer.com/match/borussia-dortmund/eintracht-frankfurt/202215544,2022,1,bundesliga
Mainz 05,RB Leipzig,1-0,https://www.besoccer.com/match/mainz-amat/rb-leipzig/202215548,2022,1,bundesliga
Köln,Hertha BSC,3-1,https://www.besoccer.com/match/1-fc-koln/hertha-bsc/202215551,2022,1,bundesliga
RB Leipzig,Stuttgart,4-0,https://www.besoccer.com/match/rb-leipzig/stuttgart/202215553,2022,2,bundesliga
Eintracht Frankfurt,FC Augsburg,0-0,https://www.besoccer.com/match/eintracht-frankfurt/fc-augsburg/202215554,2022,2,bundesliga
SC Freiburg,B. Dortmund,2-1,https://www.besoccer.com/match/sc-freiburg/borussia-dortmund/202215556,2022,2,bundesliga
Hertha BSC,Wolfsburg,1-2,https://www.besoccer.com/match/hertha-bsc/wolfsburg/202215558,2022,2,bundesliga
VfL Bochum,Mainz 05,2-0,https://www.besoccer.com/match/bochum/mainz-amat/202215559,2022,2,bundesliga
Greuther Fürth,Arminia Bielefeld,1-1,https://www.besoccer.com/match/greuther-furth/arminia-bielefeld/202215560,2022,2,bundesliga
