Home_Team,Away_Team,Result,Link,Season,Round,League
Monaco,Nantes,1-1,https://www.besoccer.com/match/monaco/nantes/202215483,2022,1,ligue_1
Olympique Lyonnais,Stade Brestois,1-1,https://www.besoccer.com/match/olympique-lyonnais/stade-brestois-29/202215480,2022,1,ligue_1
Troyes,PSG,1-2,https://www.besoccer.com/match/troyes/paris-saint-germain-fc/202215490,2022,1,ligue_1
Stade Rennais,Lens,1-1,https://www.besoccer.com/match/stade-rennes/lens/202215487,2022,1,ligue_1
Girondins Bordeaux,Clermont,0-2,https://www.besoccer.com/match/bordeaux/clermont-foot/202215478,2022,1,ligue_1
Nice,Stade de Reims,0-0,https://www.besoccer.com/match/nice/stade-reims/202215486,2022,1,ligue_1
Saint-Étienne,Lorient,1-1,https://www.besoccer.com/match/saint-etienne/lorient/202215488,2022,1,ligue_1
Strasbourg,Angers SCO,0-2,https://www.besoccer.com/match/strasbourg/angers-sco/202215489,2022,1,ligue_1
Metz,Lille,3-3,https://www.besoccer.com/match/metz/lillestrom/202215482,2022,1,ligue_1
Montpellier,Olympique Marseille,2-3,https://www.besoccer.com/match/montpellier-hsc/olympique-marsella/202215484,2022,1,ligue_1
Lorient,Monaco,1-0,https://www.besoccer.com/match/lorient/monaco/202215496,2022,2,ligue_1
Lille,Nice,0-4,https://www.besoccer.com/match/lillestrom/nice/202215495,2022,2,ligue_1
PSG,Strasbourg,4-2,https://www.besoccer.com/match/paris-saint-germain-fc/strasbourg/202215499,2022,2,ligue_1
Angers SCO,Olympique Lyonnais,3-0,https://www.besoccer.com/match/angers-sco/olympique-lyonnais/202215491,2022,2,ligue_1
Stade Brestois,Stade Rennais,1-1,https://www.besoccer.com/match/stade-brestois-29/stade-rennes/202215492,2022,2,ligue_1
Clermont,Troyes,2-0,https://www.besoccer.com/match/clermont-foot/troyes/202215493,2022,2,ligue_1
Nantes,Metz,2-0,https://www.besoccer.com/match/nantes/metz/202215498,2022,2,ligue_1
Stade de Reims,Montpellier,3-3,https://www.besoccer.com/match/stade-reims/montpellier-hsc/202215500,2022,2,ligue_1
Lens,Saint-Étienne,2-2,https://www.besoccer.com/match/lens/saint-etienne/202215494,2022,2,ligue_1
Olympique Marseille,Girondins Bordeaux,2-2,https://www.besoccer.com/match/olympique-marsella/bordeaux/202215497,2022,2,ligue_1
Stade Brestois,PSG,2-4,https://www.besoccer.com/match/stade-brestois-29/paris-saint-germain-fc/202215502,2022,3,ligue_1
Monaco,Lens,0-2,https://www.besoccer.com/match/monaco/lens/202215509,2022,3,ligue_1
Saint-Étienne,Lille,1-1,https://www.besoccer.com/match/saint-etienne/lillestrom/202215515,2022,3,ligue_1
Olympique Lyonnais,Clermont,3-3,https://www.besoccer.com/match/olympique-lyonnais/clermont-foot/202215504,2022,3,ligue_1
Girondins Bordeaux,Angers SCO,1-1,https://www.besoccer.com/match/bordeaux/angers-sco/202215501,2022,3,ligue_1
Metz,Stade de Reims,1-1,https://www.besoccer.com/match/metz/stade-reims/202215506,2022,3,ligue_1
Montpellier,Lorient,3-1,https://www.besoccer.com/match/montpellier-hsc/lorient/202215510,2022,3,ligue_1
Strasbourg,Troyes,1-1,https://www.besoccer.com/match/strasbourg/troyes/202215517,2022,3,ligue_1
Stade Rennais,Nantes,1-0,https://www.besoccer.com/match/stade-rennes/nantes/202215513,2022,3,ligue_1
Nice,Olympique Marseille,1-1,https://www.besoccer.com/match/nice/olympique-marsella/202215512,2022,3,ligue_1
